05.01.2020-20:59:51: Running script backup version 1.3
05.01.2020-20:59:56: Copied 6.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 7.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 8.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 9.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Created directory Ordner Zwei
05.01.2020-20:59:56: Copied 0.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:56: Copied 1.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:56: Copied 10.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:56: Copied 11.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:56: Copied 12.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:56: Copied 13.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:56: Copied 14.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 15.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 16.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 17.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 18.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 19.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 2.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 3.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 4.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 5.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 6.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 7.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 8.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Copied 9.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Zwei
05.01.2020-20:59:57: Created directory User Zwei
05.01.2020-20:59:57: Created directory Ordner Drei
05.01.2020-20:59:57: Copied 0.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:57: Copied 1.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:57: Copied 10.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:57: Copied 11.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 12.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 13.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 14.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 15.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 16.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 17.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 18.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 19.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 2.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 3.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 4.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 5.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 6.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 7.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 8.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Copied 9.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Drei
05.01.2020-20:59:58: Created directory Ordner Eins
05.01.2020-20:59:58: Copied 0.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:58: Copied 1.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:58: Copied 10.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:58: Copied 11.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:58: Copied 12.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 13.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 14.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 15.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 16.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 17.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 18.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
